project_id,name,description,ecosystem,construction_duration,construction_cost,strategic_value,technical_complexity,market_impact,resource_requirement,innovation_level,cooperation_projects,precedence_projects,exclusive_projects,annual_budget_distribution,start_date,end_date,team_size,technology_stack,risk_factors,success_metrics
LOGOS_CORE_001,Logos Core Infrastructure,Core blockchain infrastructure for the Logos network,logos,18,2.5,0.95,0.85,0.8,0.9,0.88,"[""LOGOS_CODEX_001"", ""LOGOS_NOMOS_001""]",[],"[""NIMBUS_ETH2_001""]","{""2024"": 0.8, ""2025"": 1.2, ""2026"": 0.5}",2024-01-15,2025-07-15,12,"[""Rust"", ""Nim"", ""Go"", ""Blockchain""]","[""Technical complexity"", ""Market adoption"", ""Regulatory uncertainty""]","[""Network throughput"", ""Developer adoption"", ""Transaction volume""]"
LOGOS_CODEX_001,Codex Decentralized Storage,Decentralized storage network with erasure coding,logos,24,3.2,0.88,0.92,0.85,0.85,0.9,"[""LOGOS_CORE_001"", ""LOGOS_WAKU_001""]","[""LOGOS_CORE_001""]",[],"{""2024"": 1.0, ""2025"": 1.5, ""2026"": 0.7}",2024-03-01,2026-03-01,15,"[""Nim"", ""libp2p"", ""Erasure Coding"", ""IPFS""]","[""Storage economics"", ""Network effects"", ""Competition""]","[""Storage capacity"", ""Retrieval speed"", ""Cost efficiency""]"
LOGOS_NOMOS_001,Nomos Consensus Layer,Novel consensus mechanism for high throughput,logos,20,2.8,0.92,0.95,0.75,0.8,0.95,"[""LOGOS_CORE_001""]",[],"[""NIMBUS_ETH1_001""]","{""2024"": 0.9, ""2025"": 1.3, ""2026"": 0.6}",2024-02-01,2025-10-01,10,"[""Rust"", ""Cryptography"", ""Consensus Algorithms""]","[""Theoretical validation"", ""Security audits"", ""Academic acceptance""]","[""Transaction throughput"", ""Finality time"", ""Security guarantees""]"
LOGOS_WAKU_001,Waku Communication Protocol,Privacy-preserving communication layer,logos,16,1.8,0.85,0.75,0.9,0.7,0.82,"[""LOGOS_CODEX_001"", ""STATUS_APP_001""]",[],[],"{""2024"": 0.7, ""2025"": 0.8, ""2026"": 0.3}",2024-01-01,2025-05-01,8,"[""Go"", ""libp2p"", ""Cryptography"", ""P2P""]","[""Privacy regulations"", ""Scalability"", ""Adoption""]","[""Message throughput"", ""Privacy guarantees"", ""Network size""]"
NIMBUS_ETH2_001,Nimbus Ethereum 2.0 Client,Lightweight Ethereum 2.0 consensus client,nimbus,22,3.5,0.9,0.88,0.95,0.85,0.8,"[""NIMBUS_LIGHT_001""]",[],"[""LOGOS_CORE_001""]","{""2024"": 1.2, ""2025"": 1.5, ""2026"": 0.8}",2024-01-01,2025-11-01,18,"[""Nim"", ""Ethereum"", ""Consensus"", ""Networking""]","[""Ethereum roadmap changes"", ""Competition"", ""Resource constraints""]","[""Validator adoption"", ""Performance benchmarks"", ""Stability metrics""]"
NIMBUS_ETH1_001,Nimbus Ethereum 1.0 Client,Execution layer client for Ethereum,nimbus,18,2.2,0.75,0.8,0.7,0.75,0.65,"[""NIMBUS_ETH2_001""]",[],"[""LOGOS_NOMOS_001""]","{""2024"": 0.8, ""2025"": 1.0, ""2026"": 0.4}",2024-02-15,2025-08-15,12,"[""Nim"", ""EVM"", ""Networking"", ""State Management""]","[""Merge timeline"", ""Technical debt"", ""Maintenance burden""]","[""Sync speed"", ""Memory usage"", ""Transaction processing""]"
NIMBUS_LIGHT_001,Nimbus Light Client,Ultra-lightweight client for mobile and IoT,nimbus,14,1.5,0.82,0.7,0.88,0.6,0.85,"[""NIMBUS_ETH2_001"", ""STATUS_APP_001""]","[""NIMBUS_ETH2_001""]",[],"{""2024"": 0.5, ""2025"": 0.7, ""2026"": 0.3}",2024-06-01,2025-08-01,6,"[""Nim"", ""Light Client Protocol"", ""Mobile"", ""Optimization""]","[""Protocol changes"", ""Mobile constraints"", ""Battery optimization""]","[""Resource usage"", ""Sync time"", ""Mobile adoption""]"
NIMBUS_PORTAL_001,Portal Network Implementation,Distributed state and history network,nimbus,26,2.8,0.85,0.9,0.75,0.8,0.88,"[""NIMBUS_LIGHT_001""]",[],[],"{""2024"": 0.8, ""2025"": 1.2, ""2026"": 0.8}",2024-04-01,2026-06-01,10,"[""Nim"", ""DHT"", ""Networking"", ""State Management""]","[""Network adoption"", ""Data availability"", ""Incentive design""]","[""Network coverage"", ""Data availability"", ""Query performance""]"
STATUS_APP_001,Status Mobile Application,Decentralized messaging and Web3 browser,status,20,4.2,0.95,0.85,0.92,0.9,0.8,"[""STATUS_KEYCARD_001"", ""LOGOS_WAKU_001""]",[],[],"{""2024"": 1.5, ""2025"": 1.8, ""2026"": 0.9}",2024-01-01,2025-09-01,25,"[""React Native"", ""ClojureScript"", ""Ethereum"", ""IPFS""]","[""App store policies"", ""User adoption"", ""Regulatory compliance""]","[""Daily active users"", ""Message volume"", ""DApp usage""]"
STATUS_DESKTOP_001,Status Desktop Application,Desktop version of Status with enhanced features,status,16,2.8,0.8,0.75,0.7,0.75,0.7,"[""STATUS_APP_001""]","[""STATUS_APP_001""]",[],"{""2024"": 1.0, ""2025"": 1.2, ""2026"": 0.6}",2024-04-01,2025-08-01,15,"[""Qt"", ""Nim"", ""React"", ""Ethereum""]","[""Platform fragmentation"", ""Feature parity"", ""Resource allocation""]","[""User adoption"", ""Feature completeness"", ""Performance""]"
STATUS_KEYCARD_001,Status Keycard Hardware,Hardware wallet and secure key storage,status,24,3.8,0.88,0.92,0.85,0.95,0.9,"[""STATUS_APP_001""]",[],[],"{""2024"": 1.2, ""2025"": 1.5, ""2026"": 1.1}",2024-02-01,2026-02-01,12,"[""Hardware"", ""Cryptography"", ""NFC"", ""Secure Elements""]","[""Hardware supply chain"", ""Security audits"", ""Manufacturing costs""]","[""Security certifications"", ""Manufacturing volume"", ""Integration success""]"
STATUS_NETWORK_001,Status Network Infrastructure,Decentralized network infrastructure and incentives,status,30,5.5,0.9,0.95,0.88,0.92,0.92,"[""STATUS_APP_001"", ""LOGOS_WAKU_001""]","[""STATUS_APP_001""]",[],"{""2024"": 1.8, ""2025"": 2.2, ""2026"": 1.5}",2024-03-01,2026-09-01,20,"[""Blockchain"", ""Tokenomics"", ""P2P"", ""Incentive Design""]","[""Token economics"", ""Network effects"", ""Regulatory landscape""]","[""Network participation"", ""Token utility"", ""Decentralization metrics""]"
VAC_RESEARCH_001,Advanced Cryptography Research,Research into novel cryptographic primitives,vac,36,2.5,0.85,0.98,0.6,0.7,0.95,"[""LOGOS_NOMOS_001"", ""STATUS_KEYCARD_001""]",[],[],"{""2024"": 0.8, ""2025"": 0.9, ""2026"": 0.8}",2024-01-01,2027-01-01,8,"[""Mathematics"", ""Cryptography"", ""Formal Methods"", ""Research""]","[""Research uncertainty"", ""Academic timeline"", ""Practical applicability""]","[""Publications"", ""Protocol implementations"", ""Academic recognition""]"
VAC_ZEROKNOWLEDGE_001,Zero-Knowledge Proof Systems,Practical ZK proof systems for privacy,vac,28,3.2,0.9,0.95,0.85,0.8,0.92,"[""LOGOS_WAKU_001"", ""STATUS_NETWORK_001""]","[""VAC_RESEARCH_001""]",[],"{""2024"": 1.0, ""2025"": 1.3, ""2026"": 0.9}",2024-06-01,2026-10-01,12,"[""ZK-SNARKs"", ""ZK-STARKs"", ""Circom"", ""Cryptography""]","[""Performance optimization"", ""Trusted setup"", ""Complexity""]","[""Proof generation time"", ""Verification speed"", ""Circuit efficiency""]"
IFT_FINANCE_001,Decentralized Finance Infrastructure,Core DeFi protocols and financial primitives,ift,22,4.5,0.92,0.88,0.95,0.85,0.85,"[""STATUS_NETWORK_001"", ""LOGOS_CORE_001""]",[],[],"{""2024"": 1.5, ""2025"": 2.0, ""2026"": 1.0}",2024-02-01,2025-12-01,18,"[""Solidity"", ""DeFi"", ""Smart Contracts"", ""Economics""]","[""Regulatory compliance"", ""Smart contract security"", ""Market volatility""]","[""Total value locked"", ""Transaction volume"", ""Protocol adoption""]"
IFT_GOVERNANCE_001,Decentralized Governance Platform,On-chain governance and decision-making tools,ift,18,2.8,0.88,0.8,0.75,0.75,0.82,"[""IFT_FINANCE_001"", ""STATUS_APP_001""]",[],[],"{""2024"": 1.0, ""2025"": 1.2, ""2026"": 0.6}",2024-03-15,2025-09-15,12,"[""Governance"", ""Voting"", ""Smart Contracts"", ""UI/UX""]","[""Governance attacks"", ""Voter apathy"", ""Complexity""]","[""Proposal volume"", ""Voter participation"", ""Decision quality""]"
